BHK,project,Location,City,Total sqft,price_sqft,price in Lakh
1,Nexus ParkDiva,Diva,Mumbai,465,5159,23.99
1,Nexus ParkDiva,Diva,Mumbai,713,5328,37.99
1,Tajjodin Taj RegencyKamothe,Kamothe,Mumbai,515,14563,75
2,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,679,18262,124
3,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,887,21082,187
2,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1045,5200,54.34
1,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,690,5200,35.88
2,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1085,5200,56.42
2,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1060,5200,55.12
1,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,795,5200,41.34
2,Sri Garden Avenue KVirar,Virar,Mumbai,692,7659,53
1,Sri Garden Avenue KVirar,Virar,Mumbai,487,7597,36.99
1,Roswalt RayDahisar,Dahisar,Mumbai,440,21708,95.51
2,Roswalt RayDahisar,Dahisar,Mumbai,650,22400,145
2,Raymond Raymond Realty TenX HabitatThane West,Thane West,Mumbai,644,23913,154
2,Nexus ParkDiva,Diva,Mumbai,936,5501,51.49
1,Nexus ParkDiva,Diva,Mumbai,445,5166,22.99
1,Labdhi GardensNeral,Neral,Mumbai,408,6199,25.29
1,Konark Zen GardensKandivali West,Kandivali West,Mumbai,398,32663,130
2,Konark Zen GardensKandivali West,Kandivali West,Mumbai,632,31645,200
2,Avant HillwayMalad East,Malad East,Mumbai,625,22500,140
2,Avant HillwayMalad East,Malad East,Mumbai,580,22500,130
2,Avant HillwayMalad East,Malad East,Mumbai,710,22500,159
2,Avant HillwayMalad East,Malad East,Mumbai,618,22500,139
2,Kalpataru WoodsvillePowai,Powai,Mumbai,770,38461,296
3,Kalpataru WoodsvillePowai,Powai,Mumbai,1232,38461,473
2,Kalpataru WoodsvillePowai,Powai,Mumbai,767,38461,294
1,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,374,21500,80.41
1,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,425,21500,91.37
1,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,416,21500,89.44
1,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,438,21500,94.17
1,Today Belantara Rasayani,Rasayani,Mumbai,302,7052,21.3
2,Today Belantara Rasayani,Rasayani,Mumbai,514,6614,34
2,Today Belantara Rasayani,Rasayani,Mumbai,455,6483,29.5
2,Today Belantara Rasayani,Rasayani,Mumbai,651,6451,42
2,Today Belantara Rasayani,Rasayani,Mumbai,568,7086,40.25
1,Today Belantara Rasayani,Rasayani,Mumbai,421,6294,26.5
1,Thanekar CivicBadlapur West,Badlapur West,Mumbai,368,6793,25
2,Thanekar CivicBadlapur West,Badlapur West,Mumbai,485,6670,32.35
2,RRB Satra HarmonyChembur,Chembur,Mumbai,834,25692,214
2,RRB Satra HarmonyChembur,Chembur,Mumbai,841,25692,216
2,RRB Satra HarmonyChembur,Chembur,Mumbai,825,25692,211
2,RRB Satra HarmonyChembur,Chembur,Mumbai,775,23681,183
2,RRB Satra HarmonyChembur,Chembur,Mumbai,528,25692,135
2,RRB Satra HarmonyChembur,Chembur,Mumbai,511,25692,131
