BHK,project,Location,City,Total sqft,price_sqft,price in Lakh
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,NA,Thakurli,Mumbai,965,6787,65.5
1,Shree Vinayak Vyom Complex A B C D WingDombivali,Dombivali,Mumbai,630,5396,34
2,Gurukrupa Marina Enclave Wings M N Phase IIMalad West,Malad West,Mumbai,900,17777,160
2,NA,Kandivali East,Mumbai,719,26008,187
1,Neeta Gulraj HeightsKurla,Kurla,Mumbai,780,12051,94
3,NA,Santacruz West,Mumbai,1400,44642,625
1,NA,Masjid Bandar,Mumbai,410,17073,69.99
2,GHP Woodland HeightsPowai,Powai,Mumbai,1050,16190,170
1,NA,Beturkar Pada,Mumbai,500,4090,20.45
2,Marathon Nexzone Atlas 2Panvel,Panvel,Mumbai,1024,9277,95
1,MDM ZionAndheri West,Andheri West,Mumbai,540,23333,126
2,NA,Panvel,Mumbai,1200,7916,95
1,NA,Dombivli (West),Mumbai,712,6000,42.72
2,Wadhwa SolitaireThane West,Thane West,Mumbai,665,10827,72
2,NA,Ghatkopar West,Mumbai,1000,13500,135
3,Platinum The SpringsKalamboli,Kalamboli,Mumbai,1975,7493,148
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Vakratunda PalaceBhandup West,Bhandup West,Mumbai,575,16869,97
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,4687,30
1,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,4687,30
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Lakshadeep ResidencyKaranjade,Karanjade,Mumbai,600,5375,32.25
1,NA,Dombivali East,Mumbai,560,8928,50
1,NA,Thakurli,Mumbai,673,7726,52
2,NA,Panvel,Mumbai,850,4470,38
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,NA,Kamothe,Mumbai,450,6888,31
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
3,Shiv Darshan Shiv Darshan SocietyMulund West,Mulund West,Mumbai,880,21022,185
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,NA,Ghodbander,Mumbai,815,9815,80
1,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,4687,30
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Fia OrionPalghar,Palghar,Mumbai,860,4418,38
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,NA,Ghodbander,Mumbai,815,9815,80
1,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,4687,30
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Fia OrionPalghar,Palghar,Mumbai,860,4418,38
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Swaraj Homes Mumbai Gruh Nirman CHSDadar West,Dadar West,Mumbai,3000,6666,200
3,Swaraj Homes Mumbai Gruh Nirman CHSDadar West,Dadar West,Mumbai,2000,8750,175
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Lakshadeep ResidencyKaranjade,Karanjade,Mumbai,600,5375,32.25
1,NA,Dombivali East,Mumbai,560,8928,50
1,NA,Thakurli,Mumbai,673,7726,52
2,NA,Panvel,Mumbai,850,4470,38
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,NA,Andheri West,Mumbai,611,16366,100
2,Reputed Builder Anmol TerraceLtdKoper Khairane,Koper Khairane,Mumbai,840,11309,95
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
3,Reputed Builder EL-DoradoPrabhadevi,Prabhadevi,Mumbai,1925,46753,900
1,NA,Diva Gaon,Mumbai,590,2800,16.52
1,NA,Diva Gaon,Mumbai,350,2800,9.8
1,NA,Diva Gaon,Mumbai,350,2800,9.8
1,NA,Diva Gaon,Mumbai,430,2800,12.04
1,NA,Diva Gaon,Mumbai,590,2800,16.52
1,NA,Diva Gaon,Mumbai,430,2800,12.04
1,NA,Diva Gaon,Mumbai,510,2800,14.28
1,NA,Diva Gaon,Mumbai,590,2800,16.52
1,NA,Diva Gaon,Mumbai,350,2800,9.8
1,NA,Diva Gaon,Mumbai,350,2800,9.8
1,NA,Diva Gaon,Mumbai,465,2800,13.02
1,NA,Diva Gaon,Mumbai,430,2800,12.04
1,NA,Diva Gaon,Mumbai,350,2800,9.8
1,NA,Datiwali Gaon,Mumbai,465,3000,13.95
1,NA,Diva Gaon,Mumbai,465,3000,13.95
2,Reputed Builder Hari Om ValleyTitwala,Titwala,Mumbai,800,4000,32
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
2,NA,Kurla West,Mumbai,700,23571,165
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
2,Space New Vrindavan SpacesAndheri East,Andheri East,Mumbai,650,26923,175
3,Rustomjee Adarsh RegencyMalad East,Malad East,Mumbai,1300,22692,295
1,NA,Diva Gaon,Mumbai,350,2800,9.8
3,NA,Thane West,Mumbai,1350,7407,100
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
4,NA,Girgaon,Mumbai,2200,17954,395
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Neeta Gulraj HeightsKurla,Kurla,Mumbai,780,12051,94
3,NA,Santacruz West,Mumbai,1400,44642,625
1,NA,Masjid Bandar,Mumbai,410,17073,69.99
2,GHP Woodland HeightsPowai,Powai,Mumbai,1050,16190,170
1,NA,Beturkar Pada,Mumbai,500,4090,20.45
2,Marathon Nexzone Atlas 2Panvel,Panvel,Mumbai,1024,9277,95
1,MDM ZionAndheri West,Andheri West,Mumbai,540,23333,126
2,NA,Panvel,Mumbai,1200,7916,95
1,NA,Dombivli (West),Mumbai,712,6000,42.72
2,Wadhwa SolitaireThane West,Thane West,Mumbai,665,10827,72
2,NA,Ghatkopar West,Mumbai,1000,13500,135
3,Platinum The SpringsKalamboli,Kalamboli,Mumbai,1975,7493,148
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,M Baria Bldg No 1 M Baria EverestVirar,Virar,Mumbai,510,7058,36
1,NA,Bhayandar West,Mumbai,760,11842,90
4,NA,Panvel,Mumbai,2500,6000,150
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Tata New HavenBoisar,Boisar,Mumbai,670,4179,28
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
2,Reputed Builder Hari Om ValleyTitwala,Titwala,Mumbai,800,4000,32
1,NA,Kalyan West,Mumbai,650,6307,41
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
1,Patel SignatureAmbernath East,Ambernath East,Mumbai,600,4000,24
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
2,Swastik HeightsDombivali,Dombivali,Mumbai,1075,4744,51
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Gurukrupa Primus ResidencesSantacruz East,Santacruz East,Mumbai,1150,22695,261
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,NA,Ambernath East,Mumbai,593,4143,24.57
1,Laxmi Shankar Heights Phase 4Ambernath West,Ambernath West,Mumbai,665,4187,27.85
2,NA,Vishnu Nagar,Mumbai,1055,5700,60.13
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
2,NA,Badlapur East,Mumbai,1150,5391,62
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Labdhi LeelaUlwe,Ulwe,Mumbai,670,7388,49.5
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
3,NA,Dadar East,Mumbai,1600,36875,590
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
2,Fine Fountain PlazaDombivali,Dombivali,Mumbai,800,4687,37.5
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
2,Mahavir PlazaAiroli,Airoli,Mumbai,700,2000,14
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Chintamani Maple City Phase IBadlapur West,Badlapur West,Mumbai,640,3515,22.5
1,NA,Dombivli (West),Mumbai,545,5596,30.5
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
2,Reputed Builder Ever Shine ApartmentAndheri West,Andheri West,Mumbai,675,6962,47
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,NA,Neral,Mumbai,450,3088,13.9
1,NA,Neral,Mumbai,450,3088,13.9
1,NA,Neral,Mumbai,450,3088,13.9
1,NA,Neral,Mumbai,450,3088,13.9
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
4,Reputed Builder Adani Western HeightsAndheri West,Andheri West,Mumbai,2016,38194,770
3,Bhumiraj HermitageSanpada,Sanpada,Mumbai,1500,20000,300
2,NA,Andheri East,Mumbai,950,18947,180
2,NA,Ghatkopar East,Mumbai,580,22413,130
1,NA,Saphale,Mumbai,580,3051,17.7
1,NA,Ulwe,Mumbai,635,4409,28
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,NA,Neral,Mumbai,450,3088,13.9
1,NA,Neral,Mumbai,450,3088,13.9
1,NA,Neral,Mumbai,450,3088,13.9
1,NA,Neral,Mumbai,450,3088,13.9
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Asaya Nivasti AurousKoper Khairane,Koper Khairane,Mumbai,653,22970,150
2,Asaya Nivasti AurousKoper Khairane,Koper Khairane,Mumbai,653,22970,150
2,Asaya Nivasti AurousKoper Khairane,Koper Khairane,Mumbai,653,22970,150
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,K Raheja Maple LeafPowai,Powai,Mumbai,850,19411,165
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
2,Reputed Builder Ever Shine ApartmentAndheri West,Andheri West,Mumbai,675,6962,47
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
2,Gurukrupa Primus ResidencesSantacruz East,Santacruz East,Mumbai,1150,22695,261
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,NA,Ambernath East,Mumbai,593,4143,24.57
1,Laxmi Shankar Heights Phase 4Ambernath West,Ambernath West,Mumbai,665,4187,27.85
2,NA,Vishnu Nagar,Mumbai,1055,5700,60.13
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
2,NA,Badlapur East,Mumbai,1150,5391,62
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Pioneer Heritage Residency 2Santacruz West,Santacruz West,Mumbai,560,28571,160
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
3,Reputed Builder Ganjawala EnclaveBorivali West,Borivali West,Mumbai,1080,23148,250
1,Arihant AnshulaTaloja,Taloja,Mumbai,750,4800,36
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,1250,20
2,Shapoorji Pallonji Joyville VirarVirar,Virar,Mumbai,1100,6818,75
1,NA,Kharghar,Mumbai,610,4098,25
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
2,NA,Belapur,Mumbai,720,12500,90
2,Piramal Aranya Arav TowerByculla,Byculla,Mumbai,1400,35714,500
4,Kalpataru SolitaireJuhu,Juhu,Mumbai,2400,79166,1900
3,Reputed Builder Tycoon SapphireKalyan West,Kalyan West,Mumbai,1368,8040,110
1,MDM ZionAndheri West,Andheri West,Mumbai,540,23703,128
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
3,NA,Dadar East,Mumbai,1600,36875,590
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
2,Fine Fountain PlazaDombivali,Dombivali,Mumbai,800,4687,37.5
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,3076,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
5,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,1249,20
1,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,3072,20
